PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-003"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
1,0.000,"Mount",0.013,0.498,0.013,0.498,0.000,0.498,0,,69,N,,,30000,28.00,0
2,1.000,"Mount",-0.109,0.656,-0.109,0.656,0.000,0.656,0,,91,N,,,30037,28.25,0
3,2.000,"Mount",0.331,0.399,0.331,0.399,0.331,0.399,39,E,55,N,,,30074,28.50,0
4,3.000,"Mount",0.263,0.635,0.263,0.635,0.263,0.635,31,E,88,N,,,30111,28.75,0
5,4.000,"Mount",0.187,0.640,0.187,0.640,0.000,0.640,0,,89,N,,,30148,28.99,0
6,5.000,"Mount",0.534,0.642,0.534,0.642,0.534,0.642,64,E,89,N,,,30185,29.24,0
7,6.000,"Mount",0.571,0.637,0.571,0.637,0.571,0.637,68,E,89,N,,,30222,29.48,0
8,7.000,"Mount",0.327,0.482,0.327,0.482,0.327,0.482,39,E,67,N,,,30259,29.71,0
9,8.000,"Mount",0.671,0.611,0.671,0.611,0.671,0.611,80,E,85,N,,,30296,29.95,0
10,9.000,"Mount",0.490,0.561,0.490,0.561,0.490,0.561,58,E,78,N,,,30333,30.17,0
11,10.000,"Mount",0.461,0.637,0.461,0.637,0.461,0.637,55,E,89,N,,,30370,30.40,0
12,11.000,"Mount",0.671,0.594,0.671,0.594,0.671,0.594,80,E,83,N,,,30407,30.61,0
13,12.000,"Mount",0.490,0.473,0.490,0.473,0.490,0.473,58,E,66,N,,,30444,30.82,0
14,13.000,"Mount",0.388,0.445,0.388,0.445,0.388,0.445,46,E,62,N,,,30481,31.03,0
15,14.000,"Mount",0.472,0.436,0.472,0.436,0.472,0.436,56,E,61,N,,,30518,31.22,0
16,15.000,"Mount",0.466,0.623,0.466,0.623,0.466,0.623,55,E,87,N,,,30555,31.41,0
17,16.000,"Mount",0.485,0.593,0.485,0.593,0.485,0.593,58,E,83,N,,,30592,31.59,0
18,17.000,"Mount",0.363,0.542,0.363,0.542,0.363,0.542,43,E,75,N,,,30629,31.76,0
19,18.000,"Mount",0.455,0.423,0.455,0.423,0.455,0.423,54,E,59,N,,,30666,31.92,0
20,19.000,"Mount",0.440,0.372,0.440,0.372,0.440,0.372,52,E,52,N,,,30703,32.07,0
21,20.000,"Mount",0.375,0.346,0.375,0.346,0.375,0.346,45,E,48,N,,,30740,32.21,0
22,21.000,"Mount",0.357,0.320,0.357,0.320,0.357,0.320,42,E,44,N,,,30777,32.34,0
23,22.000,"Mount",0.040,0.189,0.040,0.189,0.000,0.000,0,,0,,,,30814,32.46,0
24,23.000,"Mount",0.370,0.216,0.370,0.216,0.370,0.216,44,E,30,N,,,30851,32.56,0
25,24.000,"Mount",0.226,0.159,0.226,0.159,0.226,0.000,27,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.162,-0.072,0.162,-0.072,0.000,0.000,0,,0,,,,30925,32.74,0
27,26.000,"Mount",0.356,-0.151,0.356,-0.151,0.356,0.000,42,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.196,-0.120,0.196,-0.120,0.000,0.000,0,,0,,,,30999,32.88,0
29,28.000,"Mount",0.447,-0.173,0.447,-0.173,0.447,0.000,53,E,0,,,,31036,32.93,0
30,29.000,"Mount",0.677,-0.163,0.677,-0.163,0.677,0.000,81,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.642,-0.079,0.642,-0.079,0.642,0.000,76,E,0,,,,31110,32.99,0
32,31.000,"Mount",0.494,-0.294,0.494,-0.294,0.494,-0.294,59,E,41,S,,,31147,33.00,0
33,32.000,"Mount",0.410,-0.064,0.410,-0.064,0.410,0.000,49,E,0,,,,31184,33.00,0
